_u1.oktmo_code,_u1.osm_name,_u1.region_code
29623000,Малоярославецкий район,KAL
29625000,Медынский район,KAL
29627000,Мещовский район,KAL
29629000,Мосальский район,KAL
29632000,Перемышльский район,KAL
29634000,Спас-Деменский район,KAL
29636000,Сухиничский район,KAL
29638000,Тарусский район,KAL
29642000,Ульяновский  район,KAL
29644000,Ферзиковский район,KAL
29646000,Хвастовичский район,KAL
29650000,Юхновский район,KAL
29701000,Калуга,KAL
29715000,Обнинск,KAL
30601000,Алеутский район,KAM
30604000,Быстринский район,KAM
30607000,Елизовский район,KAM
30610000,Мильковский район,KAM
30613000,Соболевский район,KAM
30616000,Усть-Большерецкий район,KAM
30619000,Усть-Камчатский район,KAM
30701000,Петропавловск-Камчатский городской округ,KAM
30735000,Вилючинский городской округ,KAM
30824000,Карагинский район,KAM
30827000,Олюторский район,KAM
30829000,Пенжинский район,KAM
30832000,Тигильский район,KAM
30851000,городской округ Палана,KAM
32601000,Беловский район,KEM
32602000,Гурьевский район,KEM
32604000,Ижморский район,KEM
32607000,Кемеровский район,KEM
32610000,Крапивинский район,KEM
32613000,Ленинск-Кузнецкий район,KEM
32616000,Мариинский район,KEM
32619000,Новокузнецкий район,KEM
32622000,Прокопьевский район,KEM
32625000,Промышленновский район,KEM
32627000,Таштагольский район,KEM
32628000,Тисульский район,KEM
32631000,Топкинский район,KEM
32634000,Тяжинский район,KEM
32637000,Чебулинский район,KEM
32640000,Юргинский район,KEM
32643000,Яйский район,KEM
32646000,Яшкинский район,KEM
32701000,Кемерово,KEM
32704000,Анжеро-Судженск,KEM
32707000,Белово,KEM
32710000,Березовский,KEM
32715000,Калтан,KEM
32716000,Киселёвск,KEM
32719000,Ленинск-Кузнецкий,KEM
32725000,Междуреченск,KEM
32728000,Мыски,KEM
32731000,Новокузнецк,KEM
32732000,Полысаево,KEM
32734000,Осинники,KEM
32737000,Прокопьевск,KEM
32740000,Тайга,KEM
32749000,Юрга,KEM
32751000,Краснобродский,KEM
33602000,Арбажский район,KIR
