dt,zid_oktmo,tid,gender,age,customers_cnt_home,customers_cnt_work
2016-02-01,22647000,Himki,1,3,4,
2016-02-01,22701000,Himki,1,1,4,4
2016-02-01,22701000,Himki,2,2,4,4
2016-02-01,24601000,Metropolis,1,2,3,3
2016-02-01,24620000,Metropolis,2,4,3,3
2016-02-01,24701000,Shuka,1,4,3,
2016-02-01,24711000,Metropolis,1,2,3,
2016-02-01,27701000,Himki,1,2,7,
2016-02-01,27701000,Metropolis,1,2,7,7
2016-02-01,28604000,Shuka,1,2,5,5
2016-02-01,28612000,Metropolis,1,3,5,
2016-02-01,28620000,Himki,1,3,5,
2016-02-01,28622000,Metropolis,1,2,5,
2016-02-01,28628000,Metropolis,2,3,5,5
2016-02-01,28630000,Himki,1,2,10,13
2016-02-01,28630000,Metropolis,2,2,5,5
2016-02-01,28630000,Shuka,1,2,5,12
2016-02-01,28634000,Himki,2,2,5,5
2016-02-01,28701000,Himki,1,3,5,10
2016-02-01,28701000,Himki,1,4,5,5
2016-02-01,28701000,Himki,2,2,5,5
2016-02-01,28701000,Himki,2,3,15,10
2016-02-01,28701000,Metropolis,1,2,10,
2016-02-01,28701000,Metropolis,1,3,5,9
2016-02-01,28701000,Shuka,1,3,5,5
2016-02-01,28701000,Shuka,2,2,5,5
2016-02-01,28714000,Himki,1,2,5,5
2016-02-01,28714000,Shuka,2,3,5,
2016-02-01,28726000,Shuka,2,2,5,5
2016-02-01,29610000,Shuka,1,2,5,5
2016-02-01,29615000,Himki,1,2,5,5
2016-02-01,29623000,Metropolis,1,3,5,
2016-02-01,29701000,Himki,1,1,5,5
2016-02-01,29701000,Metropolis,1,1,5,5
2016-02-01,29701000,Shuka,1,2,5,5
2016-02-01,29715000,Shuka,1,2,5,5
2016-02-01,32731000,Metropolis,1,3,6,6
2016-02-01,33616000,Metropolis,2,3,4,4
2016-02-01,33628000,Shuka,2,2,4,
2016-02-01,33701000,Himki,1,3,4,4
2016-02-01,33701000,Himki,2,2,9,4
2016-02-01,34701000,Metropolis,1,2,6,6
2016-02-01,3618000,Himki,2,2,6,6
2016-02-01,36636000,Himki,2,2,2,2
2016-02-01,36701000,Himki,2,3,2,2
2016-02-01,36701000,Metropolis,2,2,4,4
2016-02-01,36713000,Himki,2,4,2,2
2016-02-01,36740000,Himki,2,2,2,2
2016-02-01,36740000,Metropolis,2,2,2,
2016-02-01,36740000,Metropolis,2,3,2,2
2016-02-01,36750000,Himki,2,4,2,2
2016-02-01,3701000,Himki,1,3,6,10
2016-02-01,3701000,Metropolis,1,4,6,6
2016-02-01,3703000,Himki,1,2,6,6
2016-02-01,3708000,Metropolis,1,4,6,
2016-02-01,3726000,Himki,1,2,13,13
2016-02-01,3726000,Himki,1,3,6,6
2016-02-01,3726000,Himki,2,3,6,6
2016-02-01,3726000,Metropolis,1,2,19,10
2016-02-01,3726000,Metropolis,2,2,13,
2016-02-01,3726000,Shuka,1,2,6,10
2016-02-01,3726000,Shuka,2,3,6,6
2016-02-01,3726000,Shuka,2,4,6,6
2016-02-01,38701000,Himki,2,3,5,5
2016-02-01,38701000,Metropolis,1,1,14,14
2016-02-01,38701000,Metropolis,2,1,5,5
2016-02-01,38701000,Shuka,2,2,5,5
2016-02-01,38701000,Shuka,2,3,5,5
2016-02-01,38710000,Metropolis,1,2,5,5
2016-02-01,38710000,Metropolis,1,4,5,5
2016-02-01,40313000,Himki,2,2,4,
2016-02-01,40314000,Shuka,1,1,4,
2016-02-01,40320000,Himki,2,1,4,
2016-02-01,40322000,Metropolis,2,1,4,4
2016-02-01,40323000,Metropolis,1,3,4,
2016-02-01,40326000,Shuka,1,2,4,4
2016-02-01,40329000,Himki,1,3,4,4
2016-02-01,40332000,Himki,2,3,4,
2016-02-01,40335000,Shuka,2,3,4,
2016-02-01,40338000,Himki,1,3,4,
2016-02-01,40351000,Himki,1,3,4,
2016-02-01,40354000,Himki,2,3,4,
2016-02-01,40355000,Metropolis,2,4,4,4
2016-02-01,40373000,Metropolis,2,2,4,4
2016-02-01,40378000,Shuka,2,2,4,4
2016-02-01,40381000,Himki,2,2,4,
2016-02-01,40383000,Himki,1,3,4,4
2016-02-01,40385000,Shuka,2,3,4,4
2016-02-01,40908000,Metropolis,1,2,4,
2016-02-01,41612000,Himki,2,3,4,
2016-02-01,41612000,Metropolis,1,2,4,
2016-02-01,41630000,Shuka,1,4,4,
2016-02-01,42615000,Himki,1,2,5,5
2016-02-01,45301000,Himki,1,2,8,
2016-02-01,45301000,Himki,1,3,4,4
2016-02-01,45301000,Metropolis,1,2,8,4
2016-02-01,45301000,Metropolis,1,3,11,
2016-02-01,45301000,Metropolis,2,2,8,4
2016-02-01,45301000,Metropolis,2,3,11,8
2016-02-01,45301000,Shuka,1,1,8,
2016-02-01,45301000,Shuka,1,2,8,4
2016-02-01,45302000,Himki,1,2,4,4
2016-02-01,45302000,Himki,1,4,4,4
2016-02-01,45302000,Himki,2,1,4,4
2016-02-01,45302000,Himki,2,2,4,4
2016-02-01,45302000,Himki,2,3,4,
2016-02-01,45302000,Metropolis,1,1,4,
2016-02-01,45302000,Metropolis,1,2,15,11
2016-02-01,45302000,Metropolis,1,3,8,4
2016-02-01,45302000,Metropolis,2,2,4,
2016-02-01,45302000,Metropolis,2,4,4,4
2016-02-01,45302000,Shuka,1,2,19,8
2016-02-01,45302000,Shuka,2,1,4,4
2016-02-01,45302000,Shuka,2,2,11,8
2016-02-01,45302000,Shuka,2,3,4,4
2016-02-01,45303000,Himki,2,2,4,
2016-02-01,45303000,Himki,2,3,8,
2016-02-01,45303000,Metropolis,1,2,15,
2016-02-01,45303000,Metropolis,1,4,4,
2016-02-01,45303000,Metropolis,2,1,4,
2016-02-01,45303000,Metropolis,2,2,8,8
2016-02-01,45303000,Metropolis,2,3,4,
2016-02-01,45303000,Shuka,1,4,4,
2016-02-01,45304000,Metropolis,1,2,4,
2016-02-01,45304000,Metropolis,2,2,4,
2016-02-01,45304000,Metropolis,2,4,4,
2016-02-01,45305000,Himki,1,2,4,
2016-02-01,45305000,Himki,2,2,8,8
2016-02-01,45305000,Metropolis,1,1,4,4
2016-02-01,45305000,Metropolis,1,2,19,8
2016-02-01,45305000,Metropolis,1,3,11,4
2016-02-01,45305000,Metropolis,2,1,4,4
2016-02-01,45305000,Metropolis,2,2,15,8
2016-02-01,45305000,Shuka,1,1,4,4
2016-02-01,45305000,Shuka,1,2,15,8
2016-02-01,45305000,Shuka,1,3,11,4
2016-02-01,45305000,Shuka,2,1,4,4
2016-02-01,45305000,Shuka,2,2,11,4
2016-02-01,45305000,Shuka,2,3,8,8
2016-02-01,45305000,Shuka,2,4,4,
2016-02-01,45306000,Metropolis,1,1,8,4
2016-02-01,45306000,Metropolis,1,2,11,
2016-02-01,45306000,Metropolis,2,1,8,
2016-02-01,45306000,Metropolis,2,2,11,8
2016-02-01,45306000,Metropolis,2,4,4,4
2016-02-01,45306000,Shuka,1,2,8,11
2016-02-01,45306000,Shuka,1,3,4,
2016-02-01,45306000,Shuka,1,4,4,
2016-02-01,45306000,Shuka,2,1,8,
2016-02-01,45306000,Shuka,2,2,4,
2016-02-01,45306000,Shuka,2,3,4,
2016-02-01,45307000,Himki,1,2,4,4
2016-02-01,45307000,Metropolis,1,1,4,
2016-02-01,45307000,Metropolis,1,2,8,
2016-02-01,45307000,Metropolis,1,4,4,8
2016-02-01,45307000,Metropolis,2,1,11,8
2016-02-01,45307000,Metropolis,2,2,8,
2016-02-01,45307000,Metropolis,2,3,4,4
2016-02-01,45307000,Shuka,1,1,4,4
2016-02-01,45307000,Shuka,2,2,4,8
2016-02-01,45308000,Himki,1,2,8,8
2016-02-01,45308000,Metropolis,1,2,8,
2016-02-01,45308000,Metropolis,1,3,4,
2016-02-01,45308000,Metropolis,2,1,8,
2016-02-01,45308000,Metropolis,2,4,4,
2016-02-01,45308000,Shuka,1,1,4,
2016-02-01,45308000,Shuka,1,2,4,4
2016-02-01,45308000,Shuka,2,2,11,8
2016-02-01,45308000,Shuka,2,3,4,
2016-02-01,45309000,Himki,1,2,4,
2016-02-01,45309000,Himki,1,4,4,4
2016-02-01,45309000,Himki,2,2,4,4
2016-02-01,45309000,Metropolis,1,1,8,4
2016-02-01,45309000,Metropolis,1,2,8,8
2016-02-01,45309000,Metropolis,1,3,8,4
2016-02-01,45309000,Metropolis,2,1,11,
2016-02-01,45309000,Metropolis,2,2,8,8
2016-02-01,45309000,Metropolis,2,4,4,4
2016-02-01,45309000,Shuka,1,4,4,
2016-02-01,45309000,Shuka,2,1,4,
2016-02-01,45309000,Shuka,2,2,11,4
2016-02-01,45309000,Shuka,2,3,19,8
2016-02-01,45310000,Himki,1,3,4,4
2016-02-01,45310000,Metropolis,1,2,15,4
2016-02-01,45310000,Metropolis,2,2,4,4
2016-02-01,45310000,Shuka,1,1,4,4
2016-02-01,45310000,Shuka,1,4,4,
2016-02-01,45310000,Shuka,2,2,11,8
2016-02-01,45311000,Himki,1,2,8,8
2016-02-01,45311000,Himki,1,3,4,4
2016-02-01,45311000,Metropolis,1,3,4,
2016-02-01,45311000,Metropolis,2,2,4,4
2016-02-01,45311000,Metropolis,2,3,4,4
2016-02-01,45311000,Shuka,2,2,15,11
2016-02-01,45311000,Shuka,2,4,8,
2016-02-01,45312000,Himki,1,2,23,15
2016-02-01,45312000,Himki,2,4,4,4
2016-02-01,45312000,Metropolis,1,1,4,
2016-02-01,45312000,Metropolis,1,2,8,8
2016-02-01,45312000,Metropolis,1,3,11,4
2016-02-01,45312000,Metropolis,1,4,4,4
2016-02-01,45312000,Metropolis,2,1,8,4
2016-02-01,45312000,Metropolis,2,2,11,
2016-02-01,45312000,Metropolis,2,3,4,
2016-02-01,45312000,Shuka,1,1,8,4
2016-02-01,45312000,Shuka,1,2,19,27
2016-02-01,45312000,Shuka,1,3,8,11
2016-02-01,45312000,Shuka,2,2,8,11
2016-02-01,45312000,Shuka,2,3,8,8
2016-02-01,45312000,Shuka,2,4,8,4
2016-02-01,45313000,Himki,1,1,4,
2016-02-01,45313000,Himki,1,2,8,
2016-02-01,45313000,Himki,1,4,4,4
2016-02-01,45313000,Himki,2,2,4,4
2016-02-01,45313000,Himki,2,3,4,4
2016-02-01,45313000,Metropolis,1,1,8,4
2016-02-01,45313000,Metropolis,1,2,11,4
2016-02-01,45313000,Metropolis,1,4,4,
2016-02-01,45313000,Metropolis,2,2,8,4
2016-02-01,45313000,Metropolis,2,3,4,
2016-02-01,45313000,Shuka,1,1,4,4
2016-02-01,45313000,Shuka,1,2,11,
2016-02-01,45313000,Shuka,1,3,4,4
2016-02-01,45313000,Shuka,2,2,19,8
2016-02-01,45313000,Shuka,2,3,11,
2016-02-01,45314000,Himki,1,1,4,4
2016-02-01,45314000,Himki,1,3,4,
2016-02-01,45314000,Himki,2,1,4,
2016-02-01,45314000,Himki,2,4,4,4
2016-02-01,45314000,Metropolis,1,2,4,11
2016-02-01,45314000,Metropolis,2,2,15,8
2016-02-01,45314000,Shuka,1,2,11,4
2016-02-01,45314000,Shuka,1,3,8,8
2016-02-01,45314000,Shuka,2,2,8,11
2016-02-01,45314000,Shuka,2,3,4,8
2016-02-01,45315000,Himki,1,2,4,8
2016-02-01,45315000,Himki,2,2,4,4
2016-02-01,45315000,Metropolis,1,1,4,
2016-02-01,45315000,Metropolis,1,2,11,8
2016-02-01,45315000,Metropolis,1,3,11,8
2016-02-01,45315000,Metropolis,2,1,4,
2016-02-01,45315000,Metropolis,2,2,11,15
2016-02-01,45315000,Metropolis,2,3,8,4
2016-02-01,45315000,Shuka,1,2,4,15
2016-02-01,45315000,Shuka,2,1,4,
2016-02-01,45315000,Shuka,2,3,4,4
2016-02-01,45315000,Shuka,2,4,4,4
2016-02-01,45316000,Himki,1,1,4,
2016-02-01,45316000,Himki,1,2,8,4
2016-02-01,45316000,Himki,2,2,4,4
2016-02-01,45316000,Himki,2,4,4,4
2016-02-01,45316000,Metropolis,1,2,11,4
2016-02-01,45316000,Metropolis,1,4,4,4
2016-02-01,45316000,Metropolis,2,2,8,
2016-02-01,45316000,Metropolis,2,3,8,4
2016-02-01,45316000,Metropolis,2,4,4,
2016-02-01,45316000,Shuka,1,1,4,4
2016-02-01,45317000,Himki,1,3,4,
2016-02-01,45317000,Metropolis,1,4,4,4
2016-02-01,45317000,Metropolis,2,2,4,4
2016-02-01,45317000,Shuka,1,2,4,4
2016-02-01,45318000,Himki,1,2,11,11
2016-02-01,45318000,Himki,1,4,4,4
2016-02-01,45318000,Himki,2,1,4,4
2016-02-01,45318000,Himki,2,2,4,15
2016-02-01,45318000,Metropolis,1,2,15,19
2016-02-01,45318000,Metropolis,1,3,8,19
2016-02-01,45318000,Metropolis,2,1,4,
2016-02-01,45318000,Metropolis,2,2,27,34
2016-02-01,45318000,Metropolis,2,3,8,8
2016-02-01,45318000,Shuka,1,1,4,15
2016-02-01,45318000,Shuka,1,2,4,19
2016-02-01,45318000,Shuka,2,1,4,4
2016-02-01,45318000,Shuka,2,2,8,30
2016-02-01,45318000,Shuka,2,4,4,8
2016-02-01,45319000,Himki,1,1,8,8
2016-02-01,45319000,Himki,1,2,8,8
2016-02-01,45319000,Himki,1,3,11,4
2016-02-01,45319000,Himki,1,4,8,4
2016-02-01,45319000,Himki,2,2,15,11
2016-02-01,45319000,Metropolis,1,2,4,4
2016-02-01,45319000,Metropolis,1,3,8,
2016-02-01,45319000,Metropolis,1,4,4,
2016-02-01,45319000,Metropolis,2,2,4,
2016-02-01,45319000,Metropolis,2,3,8,8
2016-02-01,45319000,Metropolis,2,4,8,4
2016-02-01,45319000,Shuka,1,2,8,4
2016-02-01,45319000,Shuka,2,1,4,4
2016-02-01,45319000,Shuka,2,2,4,15
2016-02-01,45319000,Shuka,2,3,4,
2016-02-01,45320000,Himki,1,1,4,4
2016-02-01,45320000,Himki,1,2,23,11
2016-02-01,45320000,Himki,1,3,4,11
2016-02-01,45320000,Himki,2,1,4,4
2016-02-01,45320000,Himki,2,2,8,8
2016-02-01,45320000,Himki,2,4,4,8
2016-02-01,45320000,Metropolis,1,1,8,
2016-02-01,45320000,Metropolis,1,2,42,4
2016-02-01,45320000,Metropolis,1,3,19,15
2016-02-01,45320000,Metropolis,1,4,11,4
2016-02-01,45320000,Metropolis,2,1,11,11
2016-02-01,45320000,Metropolis,2,2,27,4
2016-02-01,45320000,Metropolis,2,3,8,4
2016-02-01,45320000,Shuka,1,1,4,4
2016-02-01,45320000,Shuka,1,2,23,23
2016-02-01,45320000,Shuka,1,3,4,4
2016-02-01,45320000,Shuka,1,4,11,
2016-02-01,45320000,Shuka,2,1,8,8
2016-02-01,45320000,Shuka,2,2,11,11
2016-02-01,45320000,Shuka,2,3,19,15
2016-02-01,45320000,Shuka,2,4,4,8
2016-02-01,45321000,Himki,1,2,8,8
2016-02-01,45321000,Himki,2,2,4,4
2016-02-01,45321000,Metropolis,1,2,19,
2016-02-01,45321000,Metropolis,1,3,4,8
2016-02-01,45321000,Metropolis,1,4,4,
2016-02-01,45321000,Metropolis,2,1,4,
2016-02-01,45321000,Metropolis,2,2,11,4
2016-02-01,45321000,Metropolis,2,4,4,
2016-02-01,45321000,Shuka,1,2,15,8
2016-02-01,45321000,Shuka,1,4,4,4
2016-02-01,45321000,Shuka,2,2,4,
2016-02-01,45321000,Shuka,2,3,4,
2016-02-01,45322000,Himki,1,2,11,
2016-02-01,45322000,Himki,2,2,4,4
2016-02-01,45322000,Metropolis,1,2,23,4
2016-02-01,45322000,Metropolis,1,3,4,
2016-02-01,45322000,Metropolis,2,1,4,
2016-02-01,45322000,Shuka,1,1,4,
2016-02-01,45322000,Shuka,1,2,4,4
2016-02-01,45322000,Shuka,2,3,4,4
2016-02-01,45323000,Himki,1,2,11,
2016-02-01,45323000,Himki,1,3,8,8
2016-02-01,45323000,Himki,2,4,4,4
2016-02-01,45323000,Metropolis,1,3,8,
2016-02-01,45323000,Metropolis,1,4,4,
2016-02-01,45323000,Metropolis,2,1,4,4
2016-02-01,45323000,Metropolis,2,3,8,8
2016-02-01,45323000,Shuka,1,2,4,15
2016-02-01,45323000,Shuka,1,3,4,
2016-02-01,45323000,Shuka,2,1,4,
2016-02-01,45323000,Shuka,2,2,8,
2016-02-01,45323000,Shuka,2,3,4,8
2016-02-01,45324000,Himki,1,4,4,
2016-02-01,45324000,Metropolis,1,3,4,8
2016-02-01,45324000,Metropolis,2,1,4,4
2016-02-01,45324000,Metropolis,2,2,4,8
2016-02-01,45324000,Metropolis,2,3,4,
2016-02-01,45324000,Shuka,1,2,4,11
2016-02-01,45325000,Himki,1,1,4,
2016-02-01,45325000,Himki,1,2,11,15
2016-02-01,45325000,Himki,1,4,4,4
2016-02-01,45325000,Himki,2,2,4,11
2016-02-01,45325000,Himki,2,4,4,11
2016-02-01,45325000,Metropolis,1,1,4,4
2016-02-01,45325000,Metropolis,1,3,19,11
2016-02-01,45325000,Metropolis,1,4,4,
2016-02-01,45325000,Metropolis,2,1,15,11
2016-02-01,45325000,Metropolis,2,2,11,11
2016-02-01,45325000,Metropolis,2,3,4,15
2016-02-01,45325000,Metropolis,2,4,4,8
2016-02-01,45325000,Shuka,2,1,4,4
2016-02-01,45325000,Shuka,2,2,8,8
2016-02-01,45326000,Himki,1,2,8,4
2016-02-01,45326000,Metropolis,1,2,4,
2016-02-01,45326000,Metropolis,1,3,11,
2016-02-01,45326000,Metropolis,2,1,8,4
2016-02-01,45326000,Metropolis,2,2,4,
2016-02-01,45326000,Metropolis,2,4,4,
2016-02-01,45326000,Shuka,1,2,11,
2016-02-01,45326000,Shuka,1,3,4,8
2016-02-01,45326000,Shuka,2,2,4,4
2016-02-01,45326000,Shuka,2,3,11,8
2016-02-01,45327000,Himki,1,1,4,4
2016-02-01,45327000,Himki,1,4,4,8
2016-02-01,45327000,Himki,2,2,4,8
2016-02-01,45327000,Metropolis,1,1,8,18
2016-02-01,45327000,Metropolis,1,2,8,
2016-02-01,45327000,Metropolis,1,4,4,11
2016-02-01,45327000,Metropolis,2,1,4,8
2016-02-01,45327000,Metropolis,2,2,4,
2016-02-01,45327000,Shuka,1,1,4,4
2016-02-01,45327000,Shuka,1,2,4,4
2016-02-01,45327000,Shuka,1,3,8,4
2016-02-01,45327000,Shuka,1,4,4,4
2016-02-01,45327000,Shuka,2,1,4,
2016-02-01,45327000,Shuka,2,2,4,
2016-02-01,45327000,Shuka,2,4,8,4
2016-02-01,45328000,Himki,1,1,4,
2016-02-01,45328000,Himki,1,2,15,11
2016-02-01,45328000,Himki,1,3,8,4
2016-02-01,45328000,Himki,2,2,11,11
2016-02-01,45328000,Himki,2,3,4,
2016-02-01,45328000,Metropolis,1,1,8,4
2016-02-01,45328000,Metropolis,1,2,8,11
2016-02-01,45328000,Metropolis,1,3,4,
2016-02-01,45328000,Metropolis,1,4,4,
2016-02-01,45328000,Metropolis,2,2,4,
2016-02-01,45328000,Metropolis,2,3,4,
2016-02-01,45328000,Shuka,1,2,8,4
2016-02-01,45328000,Shuka,1,4,4,4
2016-02-01,45328000,Shuka,2,2,4,8
2016-02-01,45328000,Shuka,2,3,8,11
2016-02-01,45329000,Himki,1,1,4,
2016-02-01,45329000,Himki,1,3,8,16
2016-02-01,45329000,Himki,2,2,8,4
2016-02-01,45329000,Himki,2,3,4,4
2016-02-01,45329000,Metropolis,1,1,4,4
2016-02-01,45329000,Metropolis,1,2,4,4
2016-02-01,45329000,Metropolis,1,3,11,4
2016-02-01,45329000,Metropolis,1,4,8,4
2016-02-01,45329000,Metropolis,2,1,4,4
2016-02-01,45329000,Metropolis,2,2,19,8
2016-02-01,45329000,Metropolis,2,3,4,11
2016-02-01,45329000,Shuka,1,1,4,
2016-02-01,45329000,Shuka,1,2,4,
2016-02-01,45329000,Shuka,1,3,4,
2016-02-01,45329000,Shuka,2,3,4,4
2016-02-01,45330000,Himki,1,1,11,8
2016-02-01,45330000,Himki,1,2,38,38
2016-02-01,45330000,Himki,1,3,27,11
2016-02-01,45330000,Himki,1,4,8,8
2016-02-01,45330000,Himki,2,1,30,15
2016-02-01,45330000,Himki,2,2,34,23
2016-02-01,45330000,Himki,2,3,23,11
2016-02-01,45330000,Himki,2,4,11,8
2016-02-01,45330000,Metropolis,1,2,4,8
2016-02-01,45330000,Metropolis,1,3,8,4
2016-02-01,45330000,Metropolis,2,1,4,
2016-02-01,45330000,Metropolis,2,2,11,4
2016-02-01,45330000,Shuka,1,1,4,
2016-02-01,45330000,Shuka,1,2,34,23
2016-02-01,45330000,Shuka,1,3,23,15
2016-02-01,45330000,Shuka,1,4,8,
2016-02-01,45330000,Shuka,2,1,8,4
2016-02-01,45330000,Shuka,2,2,8,8
2016-02-01,45330000,Shuka,2,3,15,11
2016-02-01,45330000,Shuka,2,4,15,4
2016-02-01,45331000,Himki,1,1,4,
2016-02-01,45331000,Himki,1,2,11,27
2016-02-01,45331000,Himki,1,3,15,15
2016-02-01,45331000,Himki,1,4,4,
2016-02-01,45331000,Himki,2,2,8,4
2016-02-01,45331000,Himki,2,3,4,8
2016-02-01,45331000,Metropolis,1,1,4,4
2016-02-01,45331000,Metropolis,1,2,8,
2016-02-01,45331000,Metropolis,2,2,4,4
2016-02-01,45331000,Shuka,1,3,4,
2016-02-01,45331000,Shuka,2,2,4,
2016-02-01,45331000,Shuka,2,4,4,4
2016-02-01,45332000,Himki,1,1,4,4
2016-02-01,45332000,Himki,1,2,8,8
2016-02-01,45332000,Himki,1,3,8,8
2016-02-01,45332000,Himki,2,1,4,
2016-02-01,45332000,Himki,2,2,8,11
2016-02-01,45332000,Himki,2,3,23,19
2016-02-01,45332000,Himki,2,4,4,4
2016-02-01,45332000,Metropolis,2,1,4,
2016-02-01,45332000,Shuka,1,2,4,4
2016-02-01,45333000,Himki,1,2,19,15
2016-02-01,45333000,Himki,1,3,19,23
2016-02-01,45333000,Himki,1,4,4,4
2016-02-01,45333000,Himki,2,2,30,27
2016-02-01,45333000,Himki,2,3,8,8
2016-02-01,45333000,Metropolis,1,1,38,49
2016-02-01,45333000,Metropolis,1,2,53,53
2016-02-01,45333000,Metropolis,1,3,30,34
2016-02-01,45333000,Metropolis,1,4,23,27
2016-02-01,45333000,Metropolis,2,1,19,23
2016-02-01,45333000,Metropolis,2,2,65,49
2016-02-01,45333000,Metropolis,2,3,46,34
2016-02-01,45333000,Metropolis,2,4,34,30
2016-02-01,45333000,Shuka,1,1,4,4
2016-02-01,45333000,Shuka,1,2,11,26
2016-02-01,45333000,Shuka,1,3,8,19
2016-02-01,45333000,Shuka,1,4,4,4
2016-02-01,45334000,Himki,1,2,4,15
2016-02-01,45334000,Himki,1,3,4,4
2016-02-01,45334000,Himki,2,2,8,8
2016-02-01,45334000,Himki,2,4,8,4
2016-02-01,45334000,Metropolis,1,1,8,
2016-02-01,45334000,Metropolis,1,2,19,34
2016-02-01,45334000,Metropolis,1,3,8,19
2016-02-01,45334000,Metropolis,1,4,8,8
2016-02-01,45334000,Metropolis,2,1,4,11
2016-02-01,45334000,Metropolis,2,2,23,38
2016-02-01,45334000,Metropolis,2,3,8,15
2016-02-01,45334000,Metropolis,2,4,8,8
2016-02-01,45334000,Shuka,1,1,4,8
2016-02-01,45334000,Shuka,1,2,8,38
2016-02-01,45334000,Shuka,1,4,4,4
2016-02-01,45334000,Shuka,2,2,19,30
2016-02-01,45334000,Shuka,2,3,4,11
2016-02-01,45335000,Himki,1,2,11,11
2016-02-01,45335000,Himki,1,3,4,4
2016-02-01,45335000,Himki,1,4,11,11
2016-02-01,45335000,Himki,2,1,8,4
2016-02-01,45335000,Himki,2,2,23,19
2016-02-01,45335000,Himki,2,4,4,4
2016-02-01,45335000,Metropolis,1,1,4,8
2016-02-01,45335000,Metropolis,1,2,34,8
2016-02-01,45335000,Metropolis,1,3,23,8
2016-02-01,45335000,Metropolis,1,4,11,4
2016-02-01,45335000,Metropolis,2,1,15,15
2016-02-01,45335000,Metropolis,2,2,27,8
2016-02-01,45335000,Metropolis,2,3,38,8
2016-02-01,45335000,Metropolis,2,4,8,4
2016-02-01,45335000,Shuka,1,1,8,4
2016-02-01,45335000,Shuka,1,2,4,8
2016-02-01,45335000,Shuka,1,4,4,4
2016-02-01,45335000,Shuka,2,2,4,
2016-02-01,45336000,Himki,1,2,4,19
2016-02-01,45336000,Himki,1,3,4,8
2016-02-01,45336000,Himki,1,4,4,8
2016-02-01,45336000,Himki,2,2,34,11
2016-02-01,45336000,Himki,2,3,4,
2016-02-01,45336000,Himki,2,4,4,8
2016-02-01,45336000,Metropolis,1,1,156,338
2016-02-01,45336000,Metropolis,1,2,497,1295
2016-02-01,45336000,Metropolis,1,3,190,449
2016-02-01,45336000,Metropolis,1,4,133,270
2016-02-01,45336000,Metropolis,2,1,121,410
2016-02-01,45336000,Metropolis,2,2,345,1341
2016-02-01,45336000,Metropolis,2,3,190,425
2016-02-01,45336000,Metropolis,2,4,110,224
2016-02-01,45336000,Shuka,1,1,4,8
2016-02-01,45336000,Shuka,1,2,4,15
2016-02-01,45336000,Shuka,1,3,4,4
2016-02-01,45336000,Shuka,2,1,4,4
2016-02-01,45336000,Shuka,2,2,19,27
2016-02-01,45336000,Shuka,2,3,4,15
2016-02-01,45337000,Himki,1,2,8,8
2016-02-01,45337000,Himki,1,3,4,11
2016-02-01,45337000,Himki,2,1,4,4
2016-02-01,45337000,Himki,2,2,15,11
2016-02-01,45337000,Himki,2,3,4,
2016-02-01,45337000,Himki,2,4,11,8
2016-02-01,45337000,Metropolis,1,2,19,4
2016-02-01,45337000,Metropolis,1,3,11,11
