dt,hour,tid,gender,age,customers_cnt
2016-02-01,9,Metropolis,2,4,98
2016-02-01,9,Shuka,1,1,49
2016-02-01,9,Shuka,1,2,182
2016-02-01,9,Shuka,1,3,140
2016-02-01,9,Shuka,1,4,76
2016-02-01,9,Shuka,2,1,19
2016-02-01,9,Shuka,2,2,193
2016-02-01,9,Shuka,2,3,120
2016-02-01,9,Shuka,2,4,97
2016-02-01,10,Himki,1,1,59
2016-02-01,10,Himki,1,2,446
2016-02-01,10,Himki,1,3,202
2016-02-01,10,Himki,1,4,91
2016-02-01,10,Himki,2,1,53
2016-02-01,10,Himki,2,2,349
2016-02-01,10,Himki,2,3,196
2016-02-01,10,Himki,2,4,83
2016-02-01,10,Metropolis,1,1,181
2016-02-01,10,Metropolis,1,2,726
2016-02-01,10,Metropolis,1,3,308
2016-02-01,10,Metropolis,1,4,167
2016-02-01,10,Metropolis,2,1,213
2016-02-01,10,Metropolis,2,2,867
2016-02-01,10,Metropolis,2,3,248
2016-02-01,10,Metropolis,2,4,124
2016-02-01,10,Shuka,1,1,76
2016-02-01,10,Shuka,1,2,298
2016-02-01,10,Shuka,1,3,148
2016-02-01,10,Shuka,1,4,93
2016-02-01,10,Shuka,2,1,61
2016-02-01,10,Shuka,2,2,189
2016-02-01,10,Shuka,2,3,125
2016-02-01,10,Shuka,2,4,89
2016-02-01,11,Himki,1,1,99
2016-02-01,11,Himki,1,2,428
2016-02-01,11,Himki,1,3,301
2016-02-01,11,Himki,1,4,146
2016-02-01,11,Himki,2,1,89
2016-02-01,11,Himki,2,2,425
2016-02-01,11,Himki,2,3,258
2016-02-01,11,Himki,2,4,133
2016-02-01,11,Metropolis,1,1,178
2016-02-01,11,Metropolis,1,2,749
2016-02-01,11,Metropolis,1,3,370
2016-02-01,11,Metropolis,1,4,195
2016-02-01,11,Metropolis,2,1,284
2016-02-01,11,Metropolis,2,2,944
2016-02-01,11,Metropolis,2,3,341
2016-02-01,11,Metropolis,2,4,131
2016-02-01,11,Shuka,1,1,30
2016-02-01,11,Shuka,1,2,253
2016-02-01,11,Shuka,1,3,116
2016-02-01,11,Shuka,1,4,53
2016-02-01,11,Shuka,2,1,64
2016-02-01,11,Shuka,2,2,210
2016-02-01,11,Shuka,2,3,96
2016-02-01,11,Shuka,2,4,80
2016-02-01,12,Himki,1,1,126
2016-02-01,12,Himki,1,2,533
2016-02-01,12,Himki,1,3,336
2016-02-01,12,Himki,1,4,159
2016-02-01,12,Himki,2,1,74
2016-02-01,12,Himki,2,2,328
2016-02-01,12,Himki,2,3,275
2016-02-01,12,Himki,2,4,132
2016-02-01,12,Metropolis,1,1,202
2016-02-01,12,Metropolis,1,2,719
2016-02-01,12,Metropolis,1,3,378
2016-02-01,12,Metropolis,1,4,228
2016-02-01,12,Metropolis,2,1,277
2016-02-01,12,Metropolis,2,2,762
2016-02-01,12,Metropolis,2,3,315
2016-02-01,12,Metropolis,2,4,136
2016-02-01,12,Shuka,1,1,45
2016-02-01,12,Shuka,1,2,240
2016-02-01,12,Shuka,1,3,163
2016-02-01,12,Shuka,1,4,72
2016-02-01,12,Shuka,2,1,61
2016-02-01,12,Shuka,2,2,212
2016-02-01,12,Shuka,2,3,173
2016-02-01,12,Shuka,2,4,48
2016-02-01,13,Himki,1,1,61
2016-02-01,13,Himki,1,2,526
2016-02-01,13,Himki,1,3,296
2016-02-01,13,Himki,1,4,166
2016-02-01,13,Himki,2,1,105
