dt,zid_oktmo,tid,gender,age,customers_cnt_home,customers_cnt_work,adm8_municipal_OKTMO_NAME
2016-02-01,45319000,Shuka,2,3,4,,Академическое
2016-02-01,45320000,Himki,1,1,4,4,Академическое
2016-02-01,45320000,Himki,1,2,23,11,Академическое
2016-02-01,45320000,Himki,1,3,4,11,Академическое
2016-02-01,45320000,Himki,2,1,4,4,Академическое
2016-02-01,45320000,Himki,2,2,8,8,Академическое
2016-02-01,45320000,Himki,2,4,4,8,Академическое
2016-02-01,45320000,Metropolis,1,1,8,,Академическое
2016-02-01,45320000,Metropolis,1,2,42,4,Академическое
2016-02-01,45320000,Metropolis,1,3,19,15,Академическое
2016-02-01,45320000,Metropolis,1,4,11,4,Академическое
2016-02-01,45320000,Metropolis,2,1,11,11,Академическое
2016-02-01,45320000,Metropolis,2,2,27,4,Академическое
2016-02-01,45320000,Metropolis,2,3,8,4,Академическое
2016-02-01,45320000,Shuka,1,1,4,4,Академическое
2016-02-01,45320000,Shuka,1,2,23,23,Академическое
2016-02-01,45320000,Shuka,1,3,4,4,Академическое
2016-02-01,45320000,Shuka,1,4,11,,Академическое
2016-02-01,45320000,Shuka,2,1,8,8,Академическое
2016-02-01,45320000,Shuka,2,2,11,11,Академическое
2016-02-01,45320000,Shuka,2,3,19,15,Академическое
2016-02-01,45320000,Shuka,2,4,4,8,Академическое
2016-02-01,45321000,Himki,1,2,8,8,Академическое
2016-02-01,45321000,Himki,2,2,4,4,Академическое
2016-02-01,45321000,Metropolis,1,2,19,,Академическое
2016-02-01,45321000,Metropolis,1,3,4,8,Академическое
2016-02-01,45321000,Metropolis,1,4,4,,Академическое
2016-02-01,45321000,Metropolis,2,1,4,,Академическое
2016-02-01,45321000,Metropolis,2,2,11,4,Академическое
2016-02-01,45321000,Metropolis,2,4,4,,Академическое
2016-02-01,45321000,Shuka,1,2,15,8,Академическое
2016-02-01,45321000,Shuka,1,4,4,4,Академическое
2016-02-01,45321000,Shuka,2,2,4,,Академическое
2016-02-01,45321000,Shuka,2,3,4,,Академическое
2016-02-01,45322000,Himki,1,2,11,,Академическое
2016-02-01,45322000,Himki,2,2,4,4,Академическое
2016-02-01,45322000,Metropolis,1,2,23,4,Академическое
2016-02-01,45322000,Metropolis,1,3,4,,Академическое
2016-02-01,45322000,Metropolis,2,1,4,,Академическое
2016-02-01,45322000,Shuka,1,1,4,,Академическое
2016-02-01,45322000,Shuka,1,2,4,4,Академическое
2016-02-01,45322000,Shuka,2,3,4,4,Академическое
2016-02-01,45323000,Himki,1,2,11,,Академическое
2016-02-01,45323000,Himki,1,3,8,8,Академическое
2016-02-01,45323000,Himki,2,4,4,4,Академическое
2016-02-01,45323000,Metropolis,1,3,8,,Академическое
2016-02-01,45323000,Metropolis,1,4,4,,Академическое
2016-02-01,45323000,Metropolis,2,1,4,4,Академическое
2016-02-01,45323000,Metropolis,2,3,8,8,Академическое
2016-02-01,45323000,Shuka,1,2,4,15,Академическое
2016-02-01,45323000,Shuka,1,3,4,,Академическое
2016-02-01,45323000,Shuka,2,1,4,,Академическое
2016-02-01,45323000,Shuka,2,2,8,,Академическое
2016-02-01,45323000,Shuka,2,3,4,8,Академическое
2016-02-01,45324000,Himki,1,4,4,,Академическое
2016-02-01,45324000,Metropolis,1,3,4,8,Академическое
2016-02-01,45324000,Metropolis,2,1,4,4,Академическое
2016-02-01,45324000,Metropolis,2,2,4,8,Алексеевское
2016-02-01,45324000,Metropolis,2,3,4,,Алексеевское
2016-02-01,45324000,Shuka,1,2,4,11,Алексеевское
2016-02-01,45325000,Himki,1,1,4,,Алексеевское
2016-02-01,45325000,Himki,1,2,11,15,Алексеевское
2016-02-01,45325000,Himki,1,4,4,4,Алексеевское
2016-02-01,45325000,Himki,2,2,4,11,Алексеевское
2016-02-01,45325000,Himki,2,4,4,11,Алексеевское
2016-02-01,45325000,Metropolis,1,1,4,4,Алексеевское
2016-02-01,45325000,Metropolis,1,3,19,11,Алексеевское
2016-02-01,45325000,Metropolis,1,4,4,,Алексеевское
2016-02-01,45325000,Metropolis,2,1,15,11,Алексеевское
2016-02-01,45325000,Metropolis,2,2,11,11,Алексеевское
2016-02-01,45325000,Metropolis,2,3,4,15,Алексеевское
2016-02-01,45325000,Metropolis,2,4,4,8,Алексеевское
2016-02-01,45325000,Shuka,2,1,4,4,Алексеевское
2016-02-01,45325000,Shuka,2,2,8,8,Алексеевское
2016-02-01,45326000,Himki,1,2,8,4,Алексеевское
2016-02-01,45326000,Metropolis,1,2,4,,Алексеевское
2016-02-01,45326000,Metropolis,1,3,11,,Алексеевское
2016-02-01,45326000,Metropolis,2,1,8,4,Алексеевское
2016-02-01,45326000,Metropolis,2,2,4,,Алексеевское
2016-02-01,45326000,Metropolis,2,4,4,,Алексеевское
2016-02-01,45326000,Shuka,1,2,11,,Алексеевское
2016-02-01,45326000,Shuka,1,3,4,8,Алексеевское
2016-02-01,45326000,Shuka,2,2,4,4,Алексеевское
2016-02-01,45326000,Shuka,2,3,11,8,Алексеевское
2016-02-01,45327000,Himki,1,1,4,4,Алексеевское
2016-02-01,45327000,Himki,1,4,4,8,Алексеевское
2016-02-01,45327000,Himki,2,2,4,8,Алексеевское
2016-02-01,45327000,Metropolis,1,1,8,18,Алексеевское
2016-02-01,45327000,Metropolis,1,2,8,,Алексеевское
2016-02-01,45327000,Metropolis,1,4,4,11,Алексеевское
2016-02-01,45327000,Metropolis,2,1,4,8,Алексеевское
2016-02-01,45327000,Metropolis,2,2,4,,Алексеевское
2016-02-01,45327000,Shuka,1,1,4,4,Алексеевское
2016-02-01,45327000,Shuka,1,2,4,4,Алексеевское
2016-02-01,45327000,Shuka,1,3,8,4,Алексеевское
2016-02-01,45327000,Shuka,1,4,4,4,Алексеевское
2016-02-01,45327000,Shuka,2,1,4,,Алексеевское
2016-02-01,45327000,Shuka,2,2,4,,Алексеевское
2016-02-01,45327000,Shuka,2,4,8,4,Алексеевское
2016-02-01,45328000,Himki,1,1,4,,Алексеевское
2016-02-01,45328000,Himki,1,2,15,11,Алексеевское
2016-02-01,45328000,Himki,1,3,8,4,Алексеевское
2016-02-01,45328000,Himki,2,2,11,11,Алексеевское
2016-02-01,45328000,Himki,2,3,4,,Алексеевское
2016-02-01,45328000,Metropolis,1,1,8,4,Алексеевское
2016-02-01,45328000,Metropolis,1,2,8,11,Алексеевское
2016-02-01,45328000,Metropolis,1,3,4,,Алексеевское
2016-02-01,45328000,Metropolis,1,4,4,,Алексеевское
2016-02-01,45328000,Metropolis,2,2,4,,Алексеевское
2016-02-01,45328000,Metropolis,2,3,4,,Алексеевское
2016-02-01,45328000,Shuka,1,2,8,4,Алексеевское
2016-02-01,45328000,Shuka,1,4,4,4,Алексеевское
2016-02-01,45328000,Shuka,2,2,4,8,Алексеевское
2016-02-01,45328000,Shuka,2,3,8,11,Алексеевское
2016-02-01,45329000,Himki,1,1,4,,Алексеевское
2016-02-01,45329000,Himki,1,3,8,16,Алексеевское
2016-02-01,45329000,Himki,2,2,8,4,Алексеевское
2016-02-01,45329000,Himki,2,3,4,4,Алексеевское
2016-02-01,45329000,Metropolis,1,1,4,4,Алексеевское
2016-02-01,45329000,Metropolis,1,2,4,4,Алексеевское
2016-02-01,45329000,Metropolis,1,3,11,4,Алексеевское
2016-02-01,45329000,Metropolis,1,4,8,4,Алексеевское
2016-02-01,45329000,Metropolis,2,1,4,4,Алексеевское
2016-02-01,45329000,Metropolis,2,2,19,8,Алексеевское
2016-02-01,45329000,Metropolis,2,3,4,11,Алексеевское
2016-02-01,45329000,Shuka,1,1,4,,Алексеевское
2016-02-01,45329000,Shuka,1,2,4,,Алексеевское
2016-02-01,45329000,Shuka,1,3,4,,Алексеевское
2016-02-01,45329000,Shuka,2,3,4,4,Алексеевское
2016-02-01,45330000,Himki,1,1,11,8,Алексеевское
2016-02-01,45330000,Himki,1,2,38,38,Алексеевское
2016-02-01,45330000,Himki,1,3,27,11,Алексеевское
2016-02-01,45330000,Himki,1,4,8,8,Алексеевское
2016-02-01,45330000,Himki,2,1,30,15,Алексеевское
2016-02-01,45330000,Himki,2,2,34,23,Алексеевское
2016-02-01,45330000,Himki,2,3,23,11,Алексеевское
2016-02-01,45330000,Himki,2,4,11,8,Алексеевское
2016-02-01,45330000,Metropolis,1,2,4,8,Алексеевское
2016-02-01,45330000,Metropolis,1,3,8,4,Алексеевское
